bid,diff,"book_fee","airline_fee","fee_percent","pax_number","number_of_segments","real_price","expected_price"
55238788,"-5.889999866485596",6,0,0,1,1,"93.2699966430664","99.16000366210938"
55238029,"-15.880000114440918",6,0,0,1,1,"196.57000732421875","212.4499969482422"
55234883,"-6",6,0,0,1,1,155,161
55227931,"-12.230000019073486",12,0,0,1,2,"238.6500015258789","250.87999725341797"
55225148,"-12.269999980926514",12,0,0,1,2,"238.6500015258789","250.9199981689453"
55224807,"-16.6299991607666",6,0,0,1,1,"163.86000061035156","180.49000549316406"
55221969,"-24.690000534057617",6,0,0,1,1,"86.4000015258789","111.08999633789062"
55221067,"-24.690000534057617",6,0,0,1,1,"86.4000015258789","111.08999633789062"
55220253,"-6.019999980926514",6,0,0,1,1,"196.97999572753906",203
55216854,"-6.430000230669975",12,0,0,1,2,"208.22000122070312","214.6500015258789"
